Country,Continent,Total_Deaths,CPI,long,lat
Turkey,Asia,97007,42.84334243,35.243322,38.963745
Turkmenistan,Asia,11,67.35575898,59.556278,38.969719
Turks and Caicos Islands,Americas,4,84.21522909,-71.797928,21.694025
Tuvalu,Oceania,6,16.35652475,177.64933,-7.109535
Uganda,Africa,205039,75.67903215,32.290275,1.373333
Ukraine,Europe,1504,76.16862251,31.16558,48.379433
United Kingdom,Europe,8304,65.41392387,-3.435973,55.378051
United States,Americas,43305,59.25952553,-95.712891,37.09024
Uruguay,Americas,42,69.36722436,-55.765835,-32.522779
Uzbekistan,Asia,87,65.33397797,64.585262,41.377491
Vanuatu,Oceania,256,56.48033483,166.959158,-15.376706
Venezuela,Americas,31280,59.42970103,-66.58973,6.42375
Vietnam,Asia,27183,70.85121614,108.277199,14.058324
Virgin Island,Americas,9,95.87816577,-64.618103,18.436539
Virgin Island,Americas,17,79.12909332,-64.618103,18.436539
Wallis and Futuna,Oceania,6,49.68888774,-177.156097,-13.768752
Yemen,Asia,2235,81.71694992,48.516388,15.552727
Yemen,Asia,2857,26.08372334,48.516388,15.552727
Yemen,Asia,507,43.11759373,48.516388,15.552727
Serbia,Europe,1413,22.16675034,21.005859,44.016521
Zambia,Africa,1420,73.24767062,27.849332,-13.133897
Zimbabwe,Africa,7604,76.95905467,29.154857,-19.015438
